Month,Day,Year,Treatment,Plot,Quadrat,D_Height,D_X,D_Y,G_Height,G_X,G_Y
8,6,2019,1,23,7,4,11.7,14,5,9.1,11.3
8,6,2019,1,23,7,4.4,16,20,7,13,14
8,6,2019,1,23,7,3.6,10,11,6,5.6,9.2
8,6,2019,1,23,7,4,12.2,15,12,6.3,10.5
7,25,2019,2,5,5,4,15,17,4.3,8.1,8.2
7,25,2019,2,5,5,4.8,18,20.5,7,13,14
7,25,2019,2,5,5,2,9,9,8,5,6.2
7,25,2019,2,5,5,6.5,96,97,13.5,94,95
7,25,2019,2,5,6,2.9,12,12.5,4,8.5,9
7,25,2019,2,5,6,2,18,31,17,14,28
7,25,2019,2,5,6,11,36,58,23,22,51
7,25,2019,2,5,6,6,9,11,5,4.9,6.2
7,25,2019,2,5,6,1,10.5,21,15.7,8.4,16.7
7,25,2019,2,5,6,6.4,15,15,8.3,7.4,9.2
7,25,2019,2,5,6,7.8,20.2,24,7,14.8,18.4
7,25,2019,2,5,1,9.5,30.5,31.5,13,15,22.2
7,25,2019,2,5,1,6.4,48,50,12.8,35.1,43.2
7,25,2019,2,5,1,4,21,24,5,8.7,11.6
7,25,2019,2,5,1,4,19.6,28.5,12.5,15.3,24.7
7,25,2019,2,5,1,1.1,4,4.5,7,3,3
7,25,2019,2,5,1,6.6,17.4,19,7.8,9.8,11.5
7,25,2019,2,5,1,2,18.5,23.3,9,14.7,18.6
7,29,2019,2,9,4,9.2,31.5,42,10,23,32.8
7,29,2019,2,9,4,4.4,14.2,19.4,12,10.8,14.5
7,29,2019,2,9,4,3.6,26,53,13,21,50
7,29,2019,2,9,8,3,29,47,12.8,21,44.4
7,29,2019,2,9,8,3.7,8,8,3.6,5.8,6
7,29,2019,2,9,8,3.4,11,14.6,3,6.2,10.5
7,29,2019,2,9,8,5.6,50,73,7.2,42,69
7,29,2019,2,9,8,5,12,17,14,7.4,11
7,30,2019,2,11,3,1.8,31,32,3.9,23,25
7,30,2019,2,11,3,6.9,17.3,19,9.8,10,15.5
7,30,2019,2,11,3,5.7,15,17,4.7,9,15
7,30,2019,2,11,3,5.9,61.7,63,13,55.7,60.5
7,30,2019,2,11,3,1.6,8,11,1.8,4.3,9.1
7,30,2019,2,11,3,7.8,17,18,10.9,5.7,6.3
7,30,2019,2,11,1,3.7,9.4,15,3,7.2,9.8
7,30,2019,2,11,1,6.6,23.2,26.5,7,16.2,23.2
7,30,2019,2,11,1,4.5,20,23,15.2,11.2,17.6
7,30,2019,2,11,1,3,20.5,24,14.5,17,20.4
7,30,2019,2,11,1,2.4,18,19,12.5,10.5,11
7,31,2019,2,14,2,3.7,21,22,6.5,15.2,15.3
7,31,2019,2,14,2,6.2,22,24.5,3,16.4,19
7,31,2019,2,14,2,6.7,10.9,23.7,6,7.8,19.5
7,31,2019,2,14,2,3.8,28,35,5.5,23.7,27.7
7,31,2019,2,14,2,4.8,14.6,15,3.5,8.9,11.3
7,31,2019,2,14,2,4.5,42.5,53,15,36,50
7,31,2019,2,14,2,2.9,11.4,27,5,5.5,23
7,31,2019,2,14,6,7.3,16,24.5,10,8.8,19.3
7,31,2019,2,14,6,5.5,10,13.3,9,6,7
7,31,2019,2,14,6,3.6,9,10.7,5.5,4,7.7
7,31,2019,2,14,6,5.4,23.5,29,18,18.3,26
7,31,2019,2,14,6,6.2,29,50,14,19,35
7,31,2019,2,14,6,6,66.6,79,13.5,64.7,72
8,6,2019,2,25,3,7.6,83,85,11,73.6,81.2
8,6,2019,2,25,3,6.8,32,52,8.4,31,45.4
8,6,2019,2,25,6,2.6,8.7,10.1,3.5,5.2,7.4
8,6,2019,2,25,6,8,25.3,37,13,24.7,32
8,6,2019,2,25,6,10,32.5,37.2,10,24,30.3
8,6,2019,2,25,6,10,50,77,13.7,45,72
8,6,2019,2,25,6,5.3,31.7,54,10.3,27.9,44.3
8,6,2019,2,25,6,7,17,24,4.5,14,15
8,6,2019,2,31,1,7,23,29,3,14,17.8
8,6,2019,2,31,1,4.5,19,23,11,16,20
8,6,2019,2,31,1,2.5,7.5,8,4,4.4,5.4
8,6,2019,2,31,1,2.7,8.5,8.6,3.1,4.1,6.8
8,6,2019,2,31,1,2,6,8,3,4.5,5
8,6,2019,2,31,1,4.5,20,21.8,6,15,15.2
8,6,2019,2,31,1,5.5,70,94,13,64,84
8,6,2019,2,31,2,2.9,9.4,13,5,7,8.8
8,6,2019,2,31,2,4,25.7,32,4,24.2,25.6
8,6,2019,2,31,2,3,10.2,11.5,3.5,7.3,8
8,6,2019,2,31,2,1.7,7.6,8,1.5,5.1,5.5
8,6,2019,2,31,2,3.7,6.5,7.3,3.2,3.8,5.2
8,6,2019,2,31,2,5.5,9.5,14,3,8.3,11.3
8,6,2019,2,31,2,7,58,83,7,67,69
8,7,2019,2,33,3,2,5,5.5,3,2.6,4.5
8,7,2019,2,33,3,6.5,78.3,105,13,73.3,95
8,7,2019,2,33,3,6,14.5,18.7,7,10.2,13.5
8,7,2019,2,33,3,3.5,22.2,31,10,20.5,28.4
8,7,2019,2,33,6,7,12.5,31.2,7.5,8,29
8,7,2019,2,33,6,4.6,23,57.2,11,20,55
8,7,2019,2,33,6,2.2,9,14,9,6,9.7
8,7,2019,2,33,6,5,12.5,17.1,13,8,10
8,7,2019,2,33,6,3.5,8,11,4,4.8,7.5
8,7,2019,2,33,6,4.5,11,20,9,5,16
8,7,2019,2,33,6,3.6,9.5,10.2,9.5,7.1,7.3
8,7,2019,2,33,6,2,4.2,5.2,4,2.6,3.5
8,7,2019,2,33,6,4.5,14,14.3,11,11,12.8
8,7,2019,2,33,6,3,32,52,22.5,28,50
8,12,2019,2,38,3,1.5,8,8.3,2.2,4,5.8
8,12,2019,2,38,3,2.6,8.5,9,3,5.2,6.5
8,12,2019,2,38,3,3.8,10.7,14,6.8,9,13
8,12,2019,2,38,3,5,22,25,6,14.3,23.7
8,12,2019,2,38,3,4,13.5,21,7.5,9.4,10.4
8,12,2019,2,38,3,7,33,53,7,18,41
8,12,2019,2,38,3,5,20,27,6,14.3,22.5
8,12,2019,2,38,3,5,18,36,7,8,32
8,12,2019,2,38,5,4.6,8,14,11.5,6,12.5
8,12,2019,2,38,5,7,32,39,7,21.3,30.2
8,12,2019,2,38,5,5,11,16,3,6.3,13
8,12,2019,2,38,5,3.3,10,10.6,4,4,6.4
8,12,2019,2,38,5,5.5,27,28,8,10,13
7,26,2019,3,6,8,4.6,25.6,63,12.2,23,60.5
7,26,2019,3,6,8,2.8,9,12.2,12,5.2,8
7,26,2019,3,6,8,2,10,10.2,15,4.8,5.6
7,26,2019,3,6,8,4.9,19,23.5,3,7,9.4
7,26,2019,3,6,8,8.5,41,65,22,23.3,48.5
7,26,2019,3,6,8,4,14,15,2,7,8.7
7,26,2019,3,6,8,6.3,36.1,82.2,16,33.3,78
7,26,2019,3,6,8,7.5,33.2,37.6,18,28,30.2
7,26,2019,3,6,2,5.6,8.3,10.2,9,5.2,6.2
7,26,2019,3,6,2,7.2,22.5,25,20,14,15.7
7,26,2019,3,6,2,8,37.2,55,18,36.8,49.4
7,26,2019,3,6,2,3.5,7.5,9,11,4.5,5.3
7,26,2019,3,6,2,6.5,18,19.5,16,10.5,13.7
7,26,2019,3,6,2,4.4,8.4,10.6,8,5,8.7
7,30,2019,3,13,4,3,10,12.8,7.5,5,6
7,30,2019,3,13,4,6,11.4,14.5,9,8.6,9.3
7,30,2019,3,13,4,3.5,13.7,20,7.4,9.2,13
7,30,2019,3,13,4,4.2,10.6,14.2,9.5,6.1,10.5
7,30,2019,3,13,4,1.7,7.6,9,6,5,5.8
7,30,2019,3,13,4,7,65,74,15.5,59,61
7,30,2019,3,13,4,5.6,41,50,19.8,34,42.8
7,30,2019,3,13,7,3,11,12.5,6,7.4,8.5
7,30,2019,3,13,7,4.8,29,35,8,17,24.3
7,30,2019,3,13,7,7.8,49.4,72,17,44.3,67.6
7,30,2019,3,13,7,8,56,83.8,17.4,52,61.5
7,30,2019,3,13,7,1.5,10,11.2,10.4,7.6,8.4
7,31,2019,3,15,6,4,10,22,3.7,6.5,17
7,31,2019,3,15,6,5.6,24,25,18,19.2,20.2
7,31,2019,3,15,6,5.4,48,63,17.4,32.3,53
7,31,2019,3,15,6,5.4,63.7,70,18.5,62,70
7,31,2019,3,15,6,3,12,13,4,6.3,7.1
7,31,2019,3,15,7,3.7,12,13,10.2,6.3,8
7,31,2019,3,15,7,1.8,5.6,7.5,5,4,4.5
7,31,2019,3,15,7,3.2,8.6,10.7,7,6.6,8
7,31,2019,3,15,7,3,15,16,13,11.4,11.5
7,31,2019,3,15,7,4.6,100,124,19.5,81,124
8,6,2019,3,24,5,4,26,40,12,13,25.7
8,6,2019,3,24,5,10,93,115.8,15,87,117
8,6,2019,3,24,5,5.8,15,18,9,8.2,13.5
8,6,2019,3,24,6,5,10.7,11,6,6,9.6
8,6,2019,3,24,6,4.3,11.7,12,7,8,8.3
8,6,2019,3,24,6,8.2,84,95.6,13,80,91
8,6,2019,3,28,5,4,13,13.5,5,9,9.5
8,6,2019,3,28,5,3.5,36,52,13,30,50
8,6,2019,3,28,5,4,13.6,14,17,10.5,13
8,6,2019,3,28,5,8.5,18,27,8.8,8,21
8,6,2019,3,28,5,8,54,59,17,40,45.7
8,6,2019,3,28,5,4,25.7,45.6,15,25,40.8
8,6,2019,3,28,8,2,7,7.7,3,4.4,5
8,6,2019,3,28,8,8.2,90,100,19,73,95
8,6,2019,3,28,8,4,22,23,3.5,17,18
8,6,2019,3,28,8,5.7,16,21,12.3,12,13
8,7,2019,3,40,1,8,12,16,5,8.5,8.7
8,7,2019,3,40,1,3,9,10.6,3.5,6,9
8,7,2019,3,40,1,2,8,11.6,5.4,4.5,9.6
8,7,2019,3,40,1,3,17.5,21.4,6,14.5,19
8,7,2019,3,40,1,2,8,9,3,5.3,6.3
8,7,2019,3,40,1,5.5,46,58,12,39,53
8,7,2019,3,40,6,4,11,12,13,8,8.2
8,7,2019,3,40,6,2.3,8,11,6,5,8
8,7,2019,3,40,6,3.5,18.3,30,4.5,13.5,26
8,7,2019,3,40,6,3.5,44,48.4,8,35.6,45
8,7,2019,3,40,6,5.5,14.5,18,12,11,14
8,7,2019,3,40,6,3,6.5,7,7,4.7,5
8,7,2019,3,40,6,3.5,37,40,10,29,37
8,11,2019,3,35,2,4,6.4,6.5,3.5,2.2,3.1
8,11,2019,3,35,2,4.3,5.4,10.4,6.5,4.4,7.3
8,11,2019,3,35,2,2.5,6.8,7.4,1.3,5.5,5.7
8,11,2019,3,35,2,3.5,11.5,12,9,8,9.1
8,11,2019,3,35,2,4.5,12.6,23,8.5,10.5,20
8,11,2019,3,35,2,4.5,7,12.3,9,5.3,10.1
8,11,2019,3,35,2,6.5,19,21.2,10,11.3,15.5
8,11,2019,3,35,2,8.5,35,77.7,15,32.6,70.2
8,11,2019,3,35,7,6.5,38,48,10.3,31.2,40
8,11,2019,3,35,7,1.7,9.3,9.8,2,6.7,8
8,11,2019,3,35,7,5,14.3,21.5,6,12,18.3
8,11,2019,3,35,7,8.2,62,102,11,60,98
8,11,2019,3,36,3,6,41,44,11,36,40
8,11,2019,3,36,3,5,12,12,7,8,8
8,11,2019,3,36,3,5.2,12.3,30.5,9,8.2,27.2
8,11,2019,3,36,3,7,36,53.6,16,32.7,50
8,11,2019,3,36,3,7.5,33.7,46,13.5,26.9,37
8,11,2019,3,36,3,2,5,5,4,3,3
8,11,2019,3,36,3,3.5,8,12.5,8,7,10
8,11,2019,3,36,7,3,9,12,3,5.2,8.6
8,11,2019,3,36,7,7,24,33,5,21,25
8,11,2019,3,36,7,5.7,15,20.7,9,11,14.8
8,11,2019,3,36,7,5.5,11,14,9,5.3,7.6
8,11,2019,3,36,7,4,8,9,7.5,5.4,5.7
8,11,2019,3,36,7,4.7,41,44,11,36.2,42
8,11,2019,3,36,7,2.5,5.2,5.5,4,3.5,4.5
8,11,2019,3,36,7,2,6,7,6,4.4,5
7,18,2019,4,1,4,4.5,20,58,11.6,28,56
7,18,2019,4,1,4,7.5,14.5,22,9.5,10,15.5
7,18,2019,4,1,4,2,7,9,4,4,4.5
7,18,2019,4,1,4,5.5,8.5,10.5,6.5,4,8
7,18,2019,4,1,4,6,69,104.5,15,60.5,103
7,18,2019,4,1,4,8.5,25.8,67,14,23.8,62.5
7,18,2019,4,1,1,8,23.5,33,10,18.2,24.6
7,18,2019,4,1,1,6,24,42,14.5,14.5,35.5
7,18,2019,4,1,1,3.4,10,14,8.5,5.3,10.4
7,18,2019,4,1,1,5.4,16,19.5,4.7,7.4,11.4
7,18,2019,4,1,1,8,69.5,104,20,65.6,101.5
7,18,2019,4,1,1,8.3,25.2,27,13,23.2,25.5
7,25,2019,4,1,3,3.2,7.5,8.5,13,3.6,3.9
7,25,2019,4,1,3,1.5,4.5,4.7,3,2,2.3
7,25,2019,4,1,3,8.5,32.5,46,9,22.5,42
7,25,2019,4,1,3,3,6.5,7,4,4.3,6
7,25,2019,4,1,3,8,17.3,42,14,14.1,37.5
7,25,2019,4,1,3,6.8,21.4,29,15,12,14
7,25,2019,4,1,3,5,11,12,10,7,8.3
7,25,2019,4,1,3,9,28,58,17,25,50
7,29,2019,4,8,5,9,47,84.5,30,43,72
7,29,2019,4,8,5,9.6,42,56,18,39.5,45.6
7,29,2019,4,8,5,11,27,38,22,20,20.6
7,29,2019,4,8,4,8,16,24.3,4.9,8.2,12
7,29,2019,4,8,4,9.6,35,50.5,12.2,32,43
7,29,2019,4,8,4,1.2,63,81.5,16,49,72
7,30,2019,4,12,6,2.8,25.8,26.6,14,12,21.2
7,30,2019,4,12,6,2.5,6.8,8,3.5,4,5.5
7,30,2019,4,12,6,5.7,24.2,33,12,22.3,28.4
7,30,2019,4,12,6,10,53,124.5,20,40,124.5
7,30,2019,4,12,7,6.5,50,61,13.2,40.7,59
7,30,2019,4,12,7,6.7,72,78.3,11.9,56.3,71.2
7,30,2019,4,12,7,9,43.4,49,24,38.9,41.5
7,30,2019,4,12,7,4,13,14,11.7,9,10.7
7,30,2019,4,12,7,2.3,7,9.5,7,4,5
8,2,2019,4,17,5,4.5,16,18.5,11.8,12.3,14
8,2,2019,4,17,5,2.6,4.2,6.4,3.6,2.4,4.5
8,2,2019,4,17,5,3.2,12,13.2,2,3.3,4.6
8,2,2019,4,17,5,2.6,9.2,11,7,5.5,9.2
8,2,2019,4,17,5,6.8,24,33,25,21.5,22
8,2,2019,4,17,5,7,25.3,25.5,9.7,8,18.2
8,2,2019,4,17,5,4.4,9,12.2,6,4.6,8.7
8,2,2019,4,17,5,5.5,19,36.8,17,14.4,29
8,2,2019,4,17,5,7,10.4,13,13,5.1,7.2
8,2,2019,4,17,7,3.9,15,25,4.6,12,18.2
8,2,2019,4,17,7,6,45,52,20,32,44.3
8,2,2019,4,17,7,2.8,6,7.3,6.5,4.2,5.2
8,2,2019,4,17,7,6.2,9,10.5,6.5,5,6
8,2,2019,4,17,7,3.4,14,18.2,9,10.2,13
8,2,2019,4,17,7,5.5,17.8,20.5,12,11,12.5
8,2,2019,4,17,7,6.4,26,32,10,21,22.3
8,2,2019,4,17,7,1.8,5,6.5,5.2,3,3.2
8,6,2019,4,30,4,3,31,33,8,23.4,30.2
8,6,2019,4,30,4,4,10,11,4.5,7,8
8,6,2019,4,30,4,4,68,124,8.2,66,119
8,6,2019,4,30,8,5.6,32,41,12,26.4,38
8,6,2019,4,30,8,3,31.5,35,11.5,27.3,28.4
8,6,2019,4,30,8,6,55,58.2,8,39,56.4
8,7,2019,4,32,3,2.5,9,11,3,5.4,7.6
8,7,2019,4,32,3,4,13,14,7.4,10.8,11
8,7,2019,4,32,3,5.5,16,20,8,10,14.5
8,7,2019,4,32,3,5,57,98.5,16.5,50,91.7
8,7,2019,4,32,3,1.5,5,7.5,4,3.3,4
8,7,2019,4,32,3,5,27,32.5,11,23,31
8,7,2019,4,32,6,1.5,3,3.5,2,2,2.9
8,7,2019,4,32,6,3,6.4,8.7,2.5,3.6,5
8,7,2019,4,32,6,5,12,21,8,9,18.4
8,7,2019,4,32,6,9,85,97,14,78,87
8,7,2019,4,32,6,6,14.3,23,9,11,15.5
8,7,2019,4,34,5,5,38,47.2,18,36,45.2
8,7,2019,4,34,5,7.5,21,23,22,11,19
8,7,2019,4,34,5,7,61,125,12,57,118
8,7,2019,4,34,7,2,6,7,1.5,4,5.5
8,7,2019,4,34,7,7,15,16.5,12,10,11
8,7,2019,4,34,7,5.5,78,125,13.6,72,115
8,11,2019,4,37,1,9,31.2,53,15,28.1,44
8,11,2019,4,37,1,7,78,111,11,74,107
8,11,2019,4,37,2,3,4.5,5,4.5,3,3.5
8,11,2019,4,37,2,7,54,98,16,47,94
8,11,2019,4,37,2,9,28,33,9,15,28.3
8,11,2019,4,37,2,6,13,13.5,7,8,8
7,26,2019,5,7,5,7,17.8,28.8,9,13.4,24
7,26,2019,5,7,5,1.7,5,5.6,6.6,3.2,3.6
7,26,2019,5,7,5,5.7,15.5,27,23,12,22.7
7,26,2019,5,7,5,6,23.5,27,19.5,12,13
7,26,2019,5,7,5,6.5,57,69.5,15.3,52.3,54
7,26,2019,5,7,5,4.4,20,31,15,14.5,28.5
7,26,2019,5,7,1,8.4,30,30,7,10,11
7,26,2019,5,7,1,6,22.5,29.5,12,13,13
7,26,2019,5,7,1,5,37,40,15,32.8,33.7
7,26,2019,5,7,1,10,45,124.7,21,32,120
7,29,2019,5,10,4,4.8,21,22,15,15,16
7,29,2019,5,10,4,7,28,32.2,16.8,23,23
7,29,2019,5,10,4,7,50.3,59,18.5,42,47.8
7,29,2019,5,10,4,5.6,24,30,9.5,20,27.4
7,29,2019,5,10,4,4.4,18,23,9,15,16
7,29,2019,5,10,4,5,16.4,17,13,12,13
7,29,2019,5,10,4,6.9,14.2,17,11.4,6.5,13.6
7,29,2019,5,10,4,5.6,25.2,41,15,21,34
7,29,2019,5,10,1,8.5,53,61,16,50.6,57
7,29,2019,5,10,1,5.5,20,22,10,13,18.6
7,29,2019,5,10,1,2.3,8.6,11,5.4,6.7,8
7,29,2019,5,10,1,5.3,14.4,44.5,9,12.4,38.6
7,29,2019,5,10,1,4.9,60,63.5,14,47,60
7,29,2019,5,10,1,7.4,34.1,51.5,15,29.5,47
8,2,2019,5,16,4,4.4,13.3,14,10,9.4,10.4
8,2,2019,5,16,4,5,12.7,32,11,10.8,21.6
8,2,2019,5,16,4,8.7,73,76,26,52,61
8,2,2019,5,16,7,5.2,21.9,62,11,13.9,41
8,2,2019,5,16,7,10.3,71.3,76,15,63,78
8,2,2019,5,16,7,3.8,29.1,42,14.4,16.2,37.3
8,2,2019,5,16,7,3.6,11.8,26,8,4,26
8,2,2019,5,18,2,3.5,14.5,20.5,11.5,9,15
8,5,2019,5,18,2,8,19,31,15.5,10.3,11.8
8,5,2019,5,18,2,3,25,48.3,16,12,41.2
8,5,2019,5,18,2,3.7,16.7,18,1,11,15
8,5,2019,5,18,2,4,11.5,18.7,2,7.8,10
8,5,2019,5,18,2,4.2,26.6,37,12.8,22.5,30
8,5,2019,5,18,2,5,34,52,20,26.6,44.2
8,5,2019,5,18,5,2.5,7.3,7.4,3,3.8,4.2
8,5,2019,5,18,5,5.4,49.5,58,11.8,40,55
8,5,2019,5,18,5,9.5,66,77,10,59.5,63
8,5,2019,5,18,5,4,9,13,3,5,8.2
8,5,2019,5,21,5,2.9,7,9,5,5.8,6.6
8,5,2019,5,21,5,2,23,24,17,18.4,22
8,5,2019,5,21,5,4,24,36,8,22,34
8,5,2019,5,21,5,4.3,9,9.5,9,5,5
